 ,to,position,time
ra,Monterrey,Ausbildung,2003
ra,Stuttgart,Ausbildung,2008
ra,Stuttgart,Abschluss,2011
ra,Stuttgart,Elevin,2011
ra,Stuttgart,Corps_de_Ballett,2012
ra,Stuttgart,Halbsolistin,2014
ra,Stuttgart,Solistin,2018
ra,Stuttgart,Erste_Solistin,2021
eb,Valenzia,Ausbildung,2002
eb,London,Abschluss,2009
eb,Stuttgart,Elevin,2009
eb,Stuttgart,Corps_de_Ballett,2010
eb,Stuttgart,Erste_Solistin,2012
Monterrey,ra,Ausbildung,2003
Stuttgart,ra,Ausbildung,2008
Stuttgart,ra,Abschluss,2011
Stuttgart,ra,Elevin,2011
Stuttgart,ra,Corps_de_Ballett,2012
Stuttgart,ra,Halbsolistin,2014
Stuttgart,ra,Solistin,2018
Stuttgart,ra,Erste_Solistin,2021
Valenzia,eb,Ausbildung,2002
London,eb,Abschluss,2009
Stuttgart,eb,Elevin,2009
Stuttgart,eb,Corps_de_Ballett,2009
Stuttgart,eb,Erste_Solistin,2010
mb,Virginia,Ausbildung,NA
mb,Monaco,Abschluss,2020
mb,Stuttgart,Corps_de_Ballett,2020
mb,Stuttgart,Halbsolistin,2021
mb,Stuttgart,Solistin,2022
mb,Stuttgart,Erste_Solistin,2023
Virginia,mb,Ausbildung,NA
Monaco,mb,Abschluss,2020
Stuttgart,mb,Corps_de_Ballett,2020
Stuttgart,mb,Halbsolistin,2021
Stuttgart,mb,Solistin,2022
Stuttgart,mb,Erste_Solistin,2023
mk,Bratislava,Ausbildung,1993
mk,Monaco,Abschluss,2004
mk,Zürich,Corps_de_Ballett,2004
mk,Stuttgart,Corps_de_Ballett,2005
mk,Stuttgart,Halbsolistin,2010
mk,Stuttgart,Solistin,2014
mk,Stuttgart,Erste_Solistin,2014
Bratislava,mk,Ausbildung,1993
Monaco,mk,Abschluss,2004
Zürich,mk,Corps_de_Ballett,2004
Stuttgart,mk,Corps_de_Ballett,2005
Stuttgart,mk,Halbsolistin,2010
Stuttgart,mk,Solistin,2014
Stuttgart,mk,Erste_Solistin,2014
ao,Almaty,Ausbildung,NA
ao,Stuttgart,Abschluss,2001
ao,Stuttgart,Elevin,2001
ao,Stuttgart,Corps_de_Ballett,2002
ao,Stuttgart,Halbsolistin,2005
ao,Stuttgart,Solistin,2007
ao,Stuttgart,Erste_Solistin,2008
Almaty,ao,Ausbildung,NA
Stuttgart,ao,Abschluss,2001
Stuttgart,ao,Elevin,2001
Stuttgart,ao,Corps_de_Ballett,2002
Stuttgart,ao,Halbsolistin,2005
Stuttgart,ao,Solistin,2007
Stuttgart,ao,Erste_Solistin,2008
